Year,Month,Violation_Count
2013,1,223576
2013,2,198714
2013,3,227608
2013,4,233399
2013,5,259641
2013,6,271917
2013,7,282434
2013,8,279218
2013,9,254688
2013,10,256732
2013,11,238898
2013,12,252555
2014,1,235371
2014,2,204382
2014,3,240016
2014,4,250820
2014,5,285002
2014,6,292980
2014,7,299003
2014,8,298947
2014,9,274796
2014,10,268110
2014,11,259554
2014,12,277571
2015,1,239034
2015,2,223317
2015,3,265202
2015,4,273413
2015,5,313716
2015,6,316182
2015,7,345270
2015,8,344958
2015,9,315700
2015,10,313736
2015,11,299321
2015,12,323334
2016,1,271606
2016,2,274518
2016,3,306820
2016,4,316300
2016,5,351637
2016,6,375771
2016,7,403212
2016,8,404520
2016,9,383341
2016,10,386662
2016,11,382644
2016,12,426753
2017,1,380960
2017,2,369349
2017,3,413144
2017,4,460774
2017,5,484224
2017,6,520006
2017,7,574475
2017,8,569441
2017,9,550801
2017,10,573136
2017,11,608653
2017,12,638259
2018,1,560303
2018,2,509322
2018,3,573167
2018,4,603695
2018,5,674225
2018,6,722750
2018,7,778146
2018,8,806849
2018,9,740153
2018,10,745344
2018,11,676151
2018,12,689733
2019,1,627571
2019,2,587190
2019,3,661834
2019,4,670934
2019,5,730485
2019,6,748158
2019,7,814095
2019,8,830132
2019,9,715572
2019,10,700618
2019,11,681288
2019,12,725322
2020,1,661740
2020,2,628550
2020,3,597190
2020,4,616896
2020,5,1001960
2020,6,1258309
2020,7,1482821
2020,8,1538917
2020,9,1429618
2020,10,1409763
2020,11,1087880
2020,12,1027134
2021,1,873164
2021,2,732904
2021,3,938085
2021,4,918510
2021,5,999177
2021,6,1035498
2021,7,1084477
2021,8,1065598
2021,9,983650
2021,10,1018534
2021,11,993197
2021,12,970877
2022,1,847125
2022,2,863226
2022,3,977201
2022,4,1001304
2022,5,1079389
2022,6,1120210
2022,7,779063
2022,8,624627
2022,9,585577
2022,10,588720
2022,11,559491
2022,12,489991
2023,1,423642
2023,2,393559
2023,3,297384
2023,4,299952
2023,5,322723
2023,6,330716
2023,7,366839
2023,8,365348
2023,9,355206
2023,10,363013
2023,11,342781
2023,12,359951
2024,1,314467
2024,2,307052
2024,3,328032
2024,4,328908
2024,5,359613
2024,6,370987
2024,7,390045
2024,8,375000
2024,9,372826
2024,10,382964
2024,11,372674
2024,12,393815
2025,1,338552
2025,2,313700
2025,3,355081
2025,4,287369
2025,5,683764
