DayOfWeek,Hour,Avg_Volume
Monday,0,117.38788519443911
Monday,1,73.77781418974276
Monday,2,57.63818797907688
Monday,3,63.963228552717744
Monday,4,113.24771198061163
Monday,5,299.0663268402209
Monday,6,403.17492093886904
Monday,7,373.8837916910474
Monday,8,346.1631769797637
Monday,9,333.8619316199558
Monday,10,313.40632047564657
Monday,11,303.2602509958966
Monday,12,297.4878854294893
Monday,13,300.7537057122198
Monday,14,310.4709652184378
Monday,15,325.9799933412028
Monday,16,344.30509624876606
Monday,17,362.42568260180786
Monday,18,352.9268927078495
Monday,19,285.27072716731254
Monday,20,245.50181288543183
Monday,21,216.87454471873735
Monday,22,182.16746577502997
Monday,23,137.41837650892887
Tuesday,0,96.65993728640383
Tuesday,1,67.37303782463451
Tuesday,2,57.43490995877631
Tuesday,3,67.28449441400413
Tuesday,4,114.71838289427355
Tuesday,5,309.0002413709872
Tuesday,6,421.6689822154325
Tuesday,7,391.99848674446355
Tuesday,8,363.67667220909544
Tuesday,9,346.6990027460616
Tuesday,10,315.25690952948355
Tuesday,11,294.68042006026434
Tuesday,12,282.9096681442434
Tuesday,13,286.2823837314241
Tuesday,14,300.286062319538
Tuesday,15,317.2727300178156
Tuesday,16,342.3737789044145
Tuesday,17,363.3038605230386
Tuesday,18,354.0806082001734
Tuesday,19,280.860892068808
Tuesday,20,236.41111283083114
Tuesday,21,211.6787214839252
Tuesday,22,184.04777140684894
Tuesday,23,142.35944173532874
Wednesday,0,100.49201300789765
Wednesday,1,71.25395840933966
Wednesday,2,60.28150320806599
Wednesday,3,69.45865907698959
Wednesday,4,115.40846924361115
Wednesday,5,308.39448847480185
Wednesday,6,423.9015759395024
Wednesday,7,394.5150589262331
Wednesday,8,364.1317973960912
Wednesday,9,347.48793821589726
Wednesday,10,319.3863160952934
Wednesday,11,301.7658325886208
Wednesday,12,290.37257067797117
Wednesday,13,292.1279618006547
Wednesday,14,305.2805435305435
Wednesday,15,322.85084643288997
Wednesday,16,347.5789001608314
Wednesday,17,366.30026093439363
Wednesday,18,361.02887415577175
Wednesday,19,290.74243486210577
Wednesday,20,243.65733164541328
Wednesday,21,220.51758559567125
Wednesday,22,191.31147437316218
Wednesday,23,148.35469698494148
Thursday,0,106.19082202997615
Thursday,1,74.98493954094562
Thursday,2,62.97112439842497
Thursday,3,71.10010427528675
Thursday,4,115.126272
Thursday,5,304.89463479657064
Thursday,6,417.00447743948234
Thursday,7,389.5274286214238
Thursday,8,360.4573405746321
Thursday,9,345.80245196069905
Thursday,10,322.0915624090777
Thursday,11,306.4847687662551
Thursday,12,296.4347643853661
Thursday,13,300.88504608364104
Thursday,14,314.77258239114747
Thursday,15,330.4807855240862
Thursday,16,353.695881077733
Thursday,17,369.58594429939075
Thursday,18,366.88288176576356
Thursday,19,308.42216687422166
Thursday,20,261.7762581043532
Thursday,21,235.28750852818953
Thursday,22,208.6915014881895
Thursday,23,166.73547436455578
Friday,0,123.5300810144417
Friday,1,88.03953269675925
Friday,2,72.3213644524237
Friday,3,76.36453343897432
Friday,4,115.4704169466577
Friday,5,289.62245237878926
Friday,6,400.76645202275415
Friday,7,370.15690893755635
Friday,8,334.204161210534
Friday,9,314.2406528533395
Friday,10,301.3153625395338
Friday,11,304.8190421995268
Friday,12,309.50546554460783
Friday,13,324.4745478500419
Friday,14,343.1206555015307
Friday,15,357.41966973816255
Friday,16,372.1459171670897
Friday,17,381.0468181676874
Friday,18,377.3995350999535
Friday,19,326.9010599636584
Friday,20,278.0291624590716
Friday,21,245.38321481118194
Friday,22,220.50753924113212
Friday,23,185.3957787057719
Saturday,0,142.6115756288123
Saturday,1,104.66733431095533
Saturday,2,79.47785370792205
Saturday,3,72.3072646268272
Saturday,4,81.50878829184303
Saturday,5,135.5358657121012
Saturday,6,195.7922714854679
Saturday,7,220.760813448341
Saturday,8,263.82658294737496
Saturday,9,305.5334232384222
Saturday,10,336.6097531351532
Saturday,11,364.5831738218941
Saturday,12,374.6074842691191
Saturday,13,373.4185568878553
Saturday,14,374.7870705244123
Saturday,15,380.2236066168688
Saturday,16,387.20283275830764
Saturday,17,392.88450252594004
Saturday,18,392.08831373499817
Saturday,19,365.6763851044505
Saturday,20,331.2475328697659
Saturday,21,312.0054528284644
Saturday,22,290.1180424023951
Saturday,23,246.19881976269696
Sunday,0,185.61943479116124
Sunday,1,129.60266460316927
Sunday,2,89.19065160729801
Sunday,3,70.48855867168969
Sunday,4,64.64466828759986
Sunday,5,86.4132515755408
Sunday,6,130.19236190788396
Sunday,7,154.42470565894416
Sunday,8,199.5783505154639
Sunday,9,273.60778147737085
Sunday,10,336.99573703602204
Sunday,11,376.85343859116443
Sunday,12,394.2604541468872
Sunday,13,401.0012962348898
Sunday,14,400.7022191484243
Sunday,15,399.96500210830675
Sunday,16,400.1440004814057
Sunday,17,399.8122229927337
Sunday,18,393.4896919645548
Sunday,19,372.4102920303204
Sunday,20,348.60381009978835
Sunday,21,314.4095472052892
Sunday,22,260.6081802551805
Sunday,23,183.7640232108317
