Year,Month_Num,Month,YearMonth,Count,Vehicle_Class
2013,1,January,2013-01,8192578.0,Class 1
2013,1,January,2013-01,13367.0,Class 11
2013,1,January,2013-01,220432.0,Class 2
2013,1,January,2013-01,71880.0,Class 3
2013,1,January,2013-01,49464.0,Class 4
2013,1,January,2013-01,264083.0,Class 5
2013,1,January,2013-01,5879.0,Class 6
2013,1,January,2013-01,10472.0,Class 7
2013,1,January,2013-01,86472.0,Class 8
2013,1,January,2013-01,148002.0,Class 9
2013,2,February,2013-02,7332512.0,Class 1
2013,2,February,2013-02,10829.0,Class 11
2013,2,February,2013-02,200167.0,Class 2
2013,2,February,2013-02,63278.0,Class 3
2013,2,February,2013-02,45166.0,Class 4
2013,2,February,2013-02,229914.0,Class 5
2013,2,February,2013-02,5482.0,Class 6
2013,2,February,2013-02,9671.0,Class 7
2013,2,February,2013-02,77743.0,Class 8
2013,2,February,2013-02,132711.0,Class 9
2013,3,March,2013-03,8767813.0,Class 1
2013,3,March,2013-03,15197.0,Class 11
2013,3,March,2013-03,219908.0,Class 2
2013,3,March,2013-03,67472.0,Class 3
2013,3,March,2013-03,49420.0,Class 4
2013,3,March,2013-03,253269.0,Class 5
2013,3,March,2013-03,5801.0,Class 6
2013,3,March,2013-03,11246.0,Class 7
2013,3,March,2013-03,89789.0,Class 8
2013,3,March,2013-03,153437.0,Class 9
2013,4,April,2013-04,8724239.0,Class 1
2013,4,April,2013-04,23571.0,Class 11
2013,4,April,2013-04,230182.0,Class 2
2013,4,April,2013-04,72415.0,Class 3
2013,4,April,2013-04,52267.0,Class 4
2013,4,April,2013-04,266437.0,Class 5
2013,4,April,2013-04,5662.0,Class 6
2013,4,April,2013-04,12291.0,Class 7
2013,4,April,2013-04,92044.0,Class 8
2013,4,April,2013-04,159180.0,Class 9
2013,5,May,2013-05,9186522.0,Class 1
2013,5,May,2013-05,27614.0,Class 11
2013,5,May,2013-05,241641.0,Class 2
2013,5,May,2013-05,72569.0,Class 3
