Year,Month_Num,Month,Volume
2013,1,January,9062629
2013,2,February,8107473
2013,3,March,9633352
2013,4,April,9638288
2013,5,May,10138080
2013,6,June,10033977
2013,7,July,10245252
2013,8,August,10439855
2013,9,September,9574425
2013,10,October,9961383
2013,11,November,9420135
2013,12,December,9432914
2014,1,January,8370824
2014,2,February,7495565
2014,3,March,9362953
2014,4,April,9545689
2014,5,May,10158379
2014,6,June,9953134
2014,7,July,10137337
2014,8,August,10402744
2014,9,September,9614471
2014,10,October,9871399
2014,11,November,9368540
2014,12,December,9736607
2015,1,January,8403740
2015,2,February,7912951
2015,3,March,9246617
2015,4,April,9657045
2015,5,May,10250813
2015,6,June,10037382
2015,7,July,10417186
2015,8,August,10621922
2015,9,September,9698285
2015,10,October,10053023
2015,11,November,9660462
2015,12,December,9987341
2016,1,January,8612839
2016,2,February,8681847
2016,3,March,9880972
2016,4,April,9770105
2016,5,May,10326501
2016,6,June,10262559
2016,7,July,10578762
2016,8,August,10734983
2016,9,September,9966761
2016,10,October,10143540
2016,11,November,9785732
2016,12,December,10026745
2017,1,January,9102189
2017,2,February,8447144
2017,3,March,9433660
2017,4,April,9963360
2017,5,May,10333133
2017,6,June,10362065
2017,7,July,10652072
2017,8,August,10805326
2017,9,September,10071893
2017,10,October,10295314
2017,11,November,9897686
2017,12,December,10030544
2018,1,January,9016191
2018,2,February,8580068
2018,3,March,9605005
2018,4,April,9946281
2018,5,May,10490475
2018,6,June,10521977
2018,7,July,10690758
2018,8,August,10870416
2018,9,September,10033180
2018,10,October,10379394
2018,11,November,9850793
2018,12,December,10273358
2019,1,January,9242098
2019,2,February,8668939
2019,3,March,10002601
2019,4,April,10099404
2019,5,May,10652574
2019,6,June,10583808
2019,7,July,10752633
2019,8,August,10976439
2019,9,September,10289876
2019,10,October,10484762
2019,11,November,10143668
2019,12,December,10330655
2020,1,January,9576733
2020,2,February,9284305
2020,3,March,7235140
2020,4,April,3965002
2020,5,May,6156275
2020,6,June,7825122
2020,7,July,9012308
2020,8,August,9471460
2020,9,September,9111949
2020,10,October,9309785
2020,11,November,8503072
2020,12,December,8378418
2021,1,January,8259620
2021,2,February,7034046
2021,3,March,9248161
2021,4,April,9385617
2021,5,May,10157245
2021,6,June,10371256
2021,7,July,10685297
2021,8,August,10651940
2021,9,September,9932420
2021,10,October,10391211
2021,11,November,10037566
2021,12,December,9898810
2022,1,January,8351632
2022,2,February,8732855
2022,3,March,9978972
2022,4,April,10051618
2022,5,May,10569120
2022,6,June,10532835
2022,7,July,10727464
2022,8,August,10828317
2022,9,September,10277700
2022,10,October,10415768
2022,11,November,10007755
2022,12,December,10245844
2023,1,January,9665793
2023,2,February,8920668
2023,3,March,10127628
2023,4,April,10047851
2023,5,May,10733072
2023,6,June,10570410
2023,7,July,10785682
2023,8,August,10815756
2023,9,September,10048501
2023,10,October,10468949
2023,11,November,10095471
2023,12,December,10347396
2024,1,January,9273213
2024,2,February,9132462
2024,3,March,10099110
2024,4,April,10009154
2024,5,May,10658974
2024,6,June,10590277
2024,7,July,10683884
2024,8,August,10692555
2024,9,September,10195557
2024,10,October,10574351
2024,11,November,10084757
2024,12,December,10430200
2025,1,January,9220491
2025,2,February,8545155
2025,3,March,10049725
2025,4,April,9972709
2025,5,May,10704604
